Word	Annotation	Sense	Part of Speech	Level
bill			n. A1, v. B2	A1, B2
highly			adv.	B1
task			n.	A2
staff			n.	B1
additional			adj.	B2
progress			n. A2, v. B2	A2, B2
site			n.	A2
serious			adj.	A2
gold			n., adj.	A2
boy			n.	A1
brother			n.	A1
January			n.	A1
sort			n. A2, v. B1	A2, B1
relative			adj., n.	B1
pass			v. A2, n. B1	A2, B1
previous			adj.	B1
pain			n.	A2
separate			adj. A2, v. B1	A2, B1
planning			n.	B1
lay			v.	B1
exchange			n., v.	B1
critical			adj.	B2
ancient			adj.	A2
October			n.	A1
August			n.	A1
marriage			n.	B1
introduction			n.	A2
effort			n.	B1
memory			n.	A2
girl			n.	A1
internal			adj.	B2
soul			n.	B2
bed			n.	A1
news			n.	A1
brown			adj., n.	A1
lack			n., v.	B1
husband			n.	A1
September			n.	A1
learn			v.	A1
command			n., v.	B2
politics			n.	B1
December			n.	A1
duty			n.	B1
teacher			n.	A1
daily			adj. A2, adv. B1	A2, B1
technology			n.	A2
essential			adj.	B1
allow			v.	A2
box			n.	A1
iron			n., v.	B1
failure			n.	B2
concept			n.	B2
pattern			n.	A2
ago			adv.	A1
phase			n.	B2
otherwise			adv.	B2
variety			n.	A2
determine			v.	B1
blue			adj., n.	A1
prepared			adj.	B1
contact			n., v.	B1
lot			pron., det., adv.	A1
continue			v.	A2
heavy			adj.	A2
labour			n.	B2
southern			adj.	B1
communication			n.	B1
fully			adv.	B2
wish			v., n.	A2
opportunity			n.	A2
computer			n.	A1
exercise			n., v.	A1
police			n.	A1
create			v.	A1
reality			n.	B1
add			v.	A1
inside			prep., adv., n., adj.	A2
description			n.	A1
teaching			n.	A2
summer			n.	A1
gas			n.	A2
car			n.	A1
scientific			adj.	B1
title			n. A1, v. B2	A1, B2
soil			n.	B1
claim			v., n.	B1
village			n.	A1
traditional			adj.	A2
protection			n.	B2
entirely			adv.	B2
fixed			adj.	B1
lady			n.	A2
capacity			n.	B2
completely			adv.	A2
majority			n.	B2
mental			adj.	B1
access			n., v.	B1
practical			adj.	B1
successful			adj.	A2
interesting			adj.	A1
code			n.	A2
impossible			adj.	A2
develop			v.	A2
begin			v.	A1
someone			pron.	A1
event			n.	A1
somewhat			adv.	B2
month			n.	A1
notice			v., n.	A2
revolution			n.	B2
philosophy			n.	B2
leading			adj.	B1
beautiful			adj.	A1
relatively			adv.	B2
covered			adj.	B1
employment			n.	B1
offer			v., n.	A2
November			n.	A1
wrong			adj. A1, adv. B1, n. B2	A1, B1, B2
negative			adj. A1, n. B2	A1, B2
require			v.	B1
attack			n., v.	A2
tree			n.	A1
address			n. A1, v. B2	A1, B2
aid			n., v.	B2
hall			n.	A2
receive			v.	A2
till			conj./prep.	B1
carry			v.	A1
connection			n.	B1
female			adj., n.	A2
serve			v.	A2
stone			n.	A2
quickly			adv.	A1
evening			n.	A1
race	(competition)		n., v.	A2
race	(people)		n.	B1
animal			n.	A1
procedure			n.	B2
collection			n.	B1
annual			adj.	B2
royal			adj.	B1
secretary			n.	A2
rich			adj.	A1
male			adj., n.	A2
professional			adj. A2, n. B2	A2, B2
context			n.	A2
trust			n., v.	B2
appearance			n.	A2
firm			n.	B2
balance			n., v.	B1
spring			n. A1, v. B1	A1, B1
stop			v., n.	A1
reaction			n.	B1
sample			n. B1, v. B2	B1, B2
foot			n.	A1
battle			n. B1, v. B2	B1, B2
contract			n., v.	B2
thirty			number	A1
hair			n.	A1
equipment			n.	A2
wood			n.	A2
floor			n.	A1
married			adj.	A1
argument			n.	A2
mark			v., n.	A2
file			n. B1, v. B2	B1, B2
miss			v.	A1
hill			n.	A2
daughter			n.	A1
despite			prep.	B1
conference			n.	A2
oh			exclam.	A1
glass			n.	A1
advantage			n.	A2
external			adj.	B2
prevent			v.	A2
judge			n., v.	B1
investment			n.	B2
enemy			n.	B1
piece			n.	A1
credit			n. A2, v. B2	A2, B2
commercial			adj., n.	B1
northern			adj.	B1
square			adj., n.	A2
reach			v. A2, n. B2	A2, B2
hospital			n.	A1
conflict			n., v.	B2
native			adj., n.	B1
visit			v., n.	A1
February			n.	A1
sex			n.	B1
film			n. A1, v. A2	A1, A2
initial			adj.	B2
official			adj. B1, n. B2	B1, B2
holy			adj.	B2
enter			v.	A2
explain			v.	A1
worth			adj. B1, n. B2	B1, B2
educational			adj.	B1
officer			n.	A2
element			n.	B1
fair			adj.	A2
skin			n.	A2
conduct			v., n.	B2
cover			v. A2, n. B1	A2, B1
ordinary			adj.	A2
ship			n. A2, v. B2	A2, B2
double			adj., det., pron., v. A2	
contrast			n., v.	B1
responsibility			n.	B1
avoid			v.	A2
technical			adj.	B1
mouth			n.	A1
running			n.	A2
exist			v.	A2
network			n.	A2
impact			n., v.	B1
responsible			adj.	B1
intended			adj.	B2
machine			n.	A1
search			n., v.	A2
definition			n.	B1
powerful			adj.	B1
game			n.	A1
scene			n.	A2
brain			n.	A2
chance			n.	A2
shape			n. A2, v. B2	A2, B2
origin			n.	B2
spiritual			adj.	B2
numerous			adj.	B2
happy			adj.	A1
obtain			v.	B2
window			n.	A1
closed			adj.	A2
fish			n. A1, v. A2	A1, A2
stress			n., v.	A2
setting			n.	B1
professor			n.	A2
sexual			adj.	B1
eastern			adj.	B1
consideration			n.	B2
trial			n.	B2
winter			n.	A1
correct			adj., v.	A1
hot			adj.	A1
stay			v. A1, n. A2	A1, A2
perfect			adj.	A1
accept			v.	A2
usual			adj.	A2
captain			n.	B1
suddenly			adv.	A2
apply			v.	A2
domestic			adj.	B2
tradition			n.	A2
frequency			n.	B2
horse			n.	A1
speed			n. A2, v. B2	A2, B2
benefit			n. A2, v. B1	A2, B1
concern			n., v.	B2
wind		1	n.	A2
wind		2	v.	B2
difficulty			n.	B1
birth			n.	A2
passage			n.	B2
ought			modal v.	B1
transfer			v., n.	B2
regular			adj.	A2
error			n.	A2
fourth			number	A1
maximum			adj., n.	B2
conclusion			n.	B1
dry			adj., v.	A2
sign			n., v.	A2
lake			n.	A2
focus			v., n.	A2
bear	(animal)		n.	A2
bear	(deal with)		v.	B2
institute			n.	B2
